# type (r[1-9];w;u),circuit,name,comment,QQ,ZZ,PBSB,ID,FIELD,part (m/s),type / templates,divider / values,unit,comment,FIELD,part (m/s),type / templates,divider / values,unit,comment,FIELD,part (m/s),type / templates,divider / values,unit,comment,FIELD,part (m/s),type / templates,divider / values,unit,comment
#,PS551,PS551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,PS551,,,,FC,0900,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Charging_Target_DeltaTemp_Collector_On,Überhöhung Kollektor zu Ladeziel Ein,,,,18F502,_,,UIN,10,K,,,,,,,,,,,,,,,,,,,
r,,Charging_Target_DeltaTemp_Collector_Off,Überhöhung Kollektor zu Ladeziel Aus,,,,1AF502,_,,UIN,10,K,,,,,,,,,,,,,,,,,,,
r,,Charging_Target,"Aufladung Speicher, Puffer oder Bad",,,,32F501,_,,UCH,1=Buffer;2=Puffer,,,,,,,,,,,,,,,,,,,,
r,,PS_Average_Speed,mittlere Leistung Solarpumpe,,,,1EF502,_,,UIN,10,%,,,,,,,,,,,,,,,,,,,
r,,Buffer_Setpoint_Temperature,Speicher Sollwert Temp.,,,,76F402,_,,UIN,,°C,,,,,,,,,,,,,,,,,,,
r,,Puffer_Setpoint_Temperature,Puffer Sollwert Temp.,,,,D8F402,_,,UIN,,°C,,,,,,,,,,,,,,,,,,,
r,,Operating_Mode,Betriebsmodus,,,,22F402,_,,UIN,0=off;1=manual;2=auto,,,,,,,,,,,,,,,,,,,,
r,,PS_Actual_Speed,Solarpumpe aktuelle Leistung,,,,62F402,_,,UIN,10,%,,,,,,,,,,,,,,,,,,,
r,,PFK_Actual_Speed,Zusatzkessel Pumpe aktuelle Leistung,,,,64F402,_,,UIN,10,%,,,,,,,,,,,,,,,,,,,
r,,TBU_Temperature,Temp Speicher unten,,,,7AF402,_,,UIN,10,°C,,,,,,,,,,,,,,,,,,,
r,,TFK_Temperature,Temp Zusatzkessel,,,,BAF402,_,,UIN,10,°C,,,,,,,,,,,,,,,,,,,
r,,TPU_Temperature,Temp Puffer unten,,,,E2F402,_,,UIN,10,°C,,,,,,,,,,,,,,,,,,,
r,,TKO_Temperature,Temp Kollektor oben,,,,0AF502,_,,UIN,10,°C,,,,,,,,,,,,,,,,,,,
r,,TKR_Temperature,Temp Kollektor Rücklauf,,,,50F502,_,,UIN,10,°C,,,,,,,,,,,,,,,,,,,
r,,Solar_Actual_Power,Solarleistung aktuell,,,,22F502,_,,UIN,10,kW,,,,,,,,,,,,,,,,,,,
r,,Solar_Total_Yield,Solarertrag total,,,,26F502,_,,UIN,,kWh,,,,,,,,,,,,,,,,,,,
r,,PS_Operating_Hours,Betriebsstunden Solarpumpe,,,,28F502,_,,UIN,,h,,,,,,,,,,,,,,,,,,,
r,,Possible_LoadingTarget,mögliche Ladeziele in Hydraulikvariante,,,,24F401,_Buffer,,BI2:1,0=false;1=true,,Speicher ist möglich,_HeatExchanger,,BI4:1,0=false;1=true,,Wärmetauscher ist möglich,_Puffer,,BI5:1,0=false;1=true,,Puffer ist möglich,_Pool,,BI7:1,0=false;1=true,,Schwimmbad ist möglich
r,,VIG_Option,VIG gesetzt,,,,25F401,_,,BI5:1,0=false;1=true,,,,,,,,,,,,,,,,,,,,
r,,RadiationSensor_Option,Strahlungsfühler gesetzt,,,,26F401,_,,BI0:1,0=false;1=true,,,,,,,,,,,,,,,,,,,,